200173850,	4.2227,	2.69723
200173864,	4.03742, 1.88
200173869,	4.27,	4.195
200173871,	4.0998, 2.358
210650598,	4.0107, 1.886
210671425,	4.0698, 3.373
210737173,	4.02139, 2.5505
210853356,	4.10113, 2.5988
210873575,	4.1167, 2.8025
246697679,	4.12169, 3.4888
246698204,	4.1094, 2.27184
246970807,	4.20908, 2.605305
247031423,	4.0259, 2.70007
247160983,	4.0402, 1.65705
247169098,	4.15836, 3.29362
247211157,	3.95279, 2.03543
247234723,	4.276737, 3.01072
247368219,	4.28641, 4.1466
247430338,	4.239249, 2.7795965
247495377,	4.18098, 2.7985
247541278,	4.121067, 2.59879
247551785,	4.13956, 3.309
247554799,	4.00582, 1.5365
247612547,	4.165923, 2.58636
247682580,	4.0088, 1.87332
247688426,	4.14909, 3.362
247695418,	4.069778, 3.373
247696147,	4.02325, 1.95904
247745384,	4.28205, 3.97336
247757517,	4.02354, 2.8308
247759652,	4.0164, 1.908485
247774959,	4.009025, 2.89042
