WAVE,FLUX
3995.2588945382,0.9855774641036987
3995.723537776785,0.9800752997398376
3996.1881810153704,0.9824616312980652
3996.6528242539557,0.9886023998260498
3997.117467492541,0.9858835339546204
3997.5821107311267,0.983564555644989
3998.046753969712,0.9831974506378174
3998.5113972082972,0.9804019331932068
3998.9760404468825,0.9835175275802612
3999.440683685468,0.9940878748893738
3999.905326924053,0.9949402809143066
4000.3699701626383,0.9904620051383972
4000.8346134012236,0.9888493418693542
4001.2992566398093,0.9885433912277222
4001.7638998783946,0.9936190247535706
4002.22854311698,0.9976444244384766
4002.693186355565,0.9966314435005188
4003.1578295941504,0.9926748275756836
4003.6224728327356,0.9944809675216675
4004.087116071321,0.9954116344451904
4004.551759309906,0.9918879270553589
4005.0164025484914,0.9882928133010864
4005.481045787077,0.9890543222427368
4005.9456890256624,0.9896124601364136
4006.4103322642477,0.9835100769996643
4006.874975502833,0.9772648811340332
4007.3396187414182,0.9700161814689636
4007.8042619800035,0.9628089070320129
4008.2689052185888,0.9599149823188782
4008.733548457174,0.9614503979682922
4009.1981916957598,0.9614896774291992
4009.662834934345,0.9633081555366516
4010.1274781729303,0.9734520316123962
4010.5921214115156,0.9815008044242859
4011.056764650101,0.9874081611633301
4011.521407888686,0.9934324026107788
4011.9860511272714,0.9942047595977783
4012.4506943658566,0.9972329139709473
4012.915337604442,0.9943457245826721
4013.3799808430276,1.0033485889434814
4013.844624081613,1.0094841718673706
4014.309267320198,1.0057083368301392
4014.7739105587834,1.0013673305511475
4015.2385537973687,1.004016399383545
4015.703197035954,1.006985068321228
4016.1678402745392,1.0091689825057983
4016.6324835131245,1.0106213092803955
4017.09712675171,1.0114271640777588
4017.5617699902955,1.0123770236968994
4018.0264132288808,1.0143117904663086
4018.491056467466,1.012743592262268
4018.9556997060513,1.0117095708847046
4019.4203429446366,1.0091392993927002
4019.884986183222,1.0101584196090698
4020.349629421807,1.0107249021530151
4020.8142726603924,1.002698302268982
4021.278915898978,0.9978274703025818
4021.7435591375634,0.995941698551178
4022.2082023761486,0.9877970218658447
4022.672845614734,0.9750258922576904
4023.137488853319,0.9583947062492371
4023.6021320919044,0.936198353767395
4024.0667753304897,0.9147696495056152
